ax,ay,az,gx,gy,gz
-0.147,1.229,0.077,-21.057,-4.272,-29.053
0.078,0.862,-0.046,33.569,16.602,-14.526
0.033,1.039,0.009,4.272,-8.667,-26.428
-0.015,1.120,0.048,0.977,2.197,-4.639
-0.121,0.884,-0.026,17.151,0.244,2.197
-0.060,1.007,-0.020,-1.770,5.493,-0.549
-0.023,1.070,-0.003,11.658,12.939,5.859
0.026,0.963,-0.053,12.939,6.470,10.986
-0.025,1.004,-0.030,10.681,-3.906,5.981
-0.036,0.966,-0.043,24.048,6.104,2.563
-0.036,0.927,-0.068,19.958,11.536,-2.930
-0.014,0.937,-0.048,13.245,8.301,-5.066
0.001,0.951,-0.043,14.404,12.268,-7.751
0.003,0.914,-0.071,11.230,12.329,-9.521
0.033,0.973,0.079,-15.625,21.606,2.930
0.023,1.070,0.052,-12.146,-0.122,25.024
-0.032,1.043,0.105,-27.649,-12.512,8.301
-0.059,1.058,0.124,-14.893,12.451,16.846
0.074,0.854,0.020,-0.183,8.789,12.268
0.195,0.976,-0.049,-34.546,-10.559,2.502
0.072,1.182,-0.036,-21.667,-5.920,-1.404
-0.010,0.969,0.000,16.296,-3.357,0.732
0.041,0.934,-0.075,23.743,2.075,-3.784
0.076,0.930,-0.105,11.230,-0.061,0.610
0.041,0.958,-0.065,-1.892,-1.831,6.897
0.056,1.011,-0.087,8.789,-4.517,10.864
0.087,0.943,-0.109,17.334,-5.127,10.437
0.053,0.866,-0.134,1.465,-10.071,7.812
0.055,0.919,-0.195,-11.475,-10.986,10.315
-0.061,1.161,-0.063,-26.001,-7.202,-9.277
-0.016,0.979,-0.007,18.250,15.381,-16.785
0.087,0.873,-0.069,10.193,4.517,-18.921
0.048,1.073,0.128,-9.705,-1.892,-24.658
-0.102,1.052,-0.055,14.832,12.024,5.066
-0.080,0.857,-0.042,2.991,13.306,12.329
-0.021,1.030,0.032,-7.935,17.090,1.953
-0.017,1.041,-0.007,23.193,25.269,-5.310
-0.050,0.977,-0.105,13.977,28.931,7.751
-0.021,0.982,-0.014,5.188,27.100,16.052
0.016,0.993,-0.028,13.062,29.785,11.353
-0.012,0.926,-0.068,13.550,32.715,4.761
-0.014,0.997,-0.072,6.897,32.043,1.404
0.007,0.998,-0.065,13.123,32.837,1.953
0.019,0.965,-0.051,15.381,36.438,2.380
0.013,0.945,-0.054,13.000,34.119,-0.610
0.008,0.948,-0.072,10.742,35.583,-2.502
0.035,1.012,-0.067,11.353,34.729,-4.028
0.059,0.976,-0.035,16.296,31.616,-1.892
0.052,0.926,-0.063,17.456,28.015,-2.686
0.093,0.904,-0.045,16.052,25.269,-2.075
0.060,1.148,0.109,-9.644,20.386,25.574
-0.066,0.996,0.055,14.587,6.226,22.095
-0.038,1.044,0.180,-3.540,13.611,6.104
0.030,0.915,0.096,-4.761,22.095,3.845
0.037,0.839,0.107,-16.174,11.963,-1.099
-0.026,0.981,0.077,-22.949,8.606,3.723
0.053,1.035,-0.006,-33.203,2.319,8.850
0.090,1.148,0.021,-9.644,8.606,-3.174
0.041,0.975,-0.069,22.522,19.409,-4.822
0.054,0.880,-0.056,16.785,10.254,-2.380
0.071,0.896,-0.081,9.827,9.399,4.333
0.075,0.914,-0.100,4.395,3.113,10.803
0.082,0.932,-0.130,1.465,-0.366,14.099
0.092,0.903,-0.155,-1.770,-2.197,13.977
-0.036,1.208,0.011,-35.217,-6.775,-22.339
0.097,0.939,0.051,23.682,3.479,-21.362
-0.009,0.997,-0.009,4.211,-1.465,-22.522
-0.017,1.135,0.123,5.981,-0.122,-13.123
-0.133,0.840,-0.050,17.334,1.465,14.832
-0.044,0.917,0.007,-14.587,4.395,2.441
-0.047,1.116,0.006,4.028,15.747,-1.526
0.016,0.976,-0.036,12.329,13.977,10.620
0.014,0.982,-0.012,4.456,0.427,9.460
-0.022,0.990,-0.015,13.916,4.150,5.615
-0.038,0.931,-0.058,11.230,12.878,0.732
-0.047,1.012,-0.033,4.639,11.108,0.305
-0.010,0.995,-0.046,14.832,13.245,3.235
0.037,0.965,-0.043,13.184,14.038,2.502
0.007,0.969,-0.046,15.076,15.442,-3.235
0.023,0.936,-0.048,17.944,16.357,-5.676
0.048,0.930,-0.059,16.602,15.137,-6.897
0.048,0.895,0.009,6.897,19.653,-4.822
0.104,1.199,0.132,-10.315,-2.747,28.198
-0.076,0.928,0.047,9.888,-13.000,12.756
-0.027,0.950,0.108,-9.705,-0.549,0.671
0.047,0.897,0.056,-11.230,3.723,1.587
0.048,0.910,0.080,-30.334,-14.160,6.042
0.045,1.026,-0.040,-30.640,-13.000,13.611
0.059,1.125,0.031,-33.630,-28.625,5.859
0.081,1.060,-0.041,6.836,-17.029,-2.563
0.063,0.973,-0.097,21.423,-21.912,-2.197
0.056,0.939,-0.078,5.005,-31.982,2.563
0.058,0.944,-0.096,-0.977,-37.964,5.798
0.063,0.946,-0.121,-1.770,-40.344,4.883
0.100,0.911,-0.159,3.479,-40.161,10.803
0.068,0.963,-0.153,-1.221,-50.598,11.414
-0.179,1.279,0.005,-25.085,-37.964,-6.165
-0.016,0.918,-0.007,36.560,-22.339,-4.456
0.100,0.850,-0.039,19.165,-40.710,3.052
0.090,0.944,0.070,2.930,-61.584,-22.095
-0.012,1.039,-0.144,21.545,-72.083,-19.775
-0.160,0.925,-0.202,5.615,-67.078,-0.671
-0.075,1.031,-0.107,-16.174,-45.532,5.859
-0.036,1.001,-0.032,-4.883,-55.908,8.301
-0.067,1.012,-0.094,4.333,-51.331,5.981
-0.059,0.983,-0.084,7.263,-46.082,4.639
-0.043,0.964,-0.056,7.812,-42.847,1.404
-0.071,0.971,-0.075,6.165,-41.321,1.526
-0.101,0.997,-0.090,4.395,-40.588,-0.427
-0.087,0.993,-0.086,10.193,-31.738,-4.089
-0.098,1.008,-0.095,16.663,-21.118,-6.042
-0.088,0.948,-0.087,21.484,-13.489,-7.263
-0.044,0.909,-0.095,21.667,-7.263,-12.207
-0.056,0.990,0.105,-9.399,2.075,9.460
-0.049,1.034,0.044,-6.348,-12.146,22.949
-0.082,0.890,0.034,-8.301,-4.883,7.019
0.067,1.135,0.052,-30.457,-9.277,-1.038
0.188,0.883,0.068,-11.230,-15.869,7.263
0.185,1.025,-0.032,-21.790,-21.545,-2.258
0.151,1.102,-0.071,-4.944,-31.128,-5.676
0.039,0.931,-0.006,4.517,-30.151,-0.793
-0.000,0.981,-0.045,13.062,-28.015,-2.502
0.035,0.941,-0.113,6.226,-29.968,7.446
0.081,0.969,-0.036,-0.427,-35.095,10.864
0.063,0.985,-0.052,4.883,-33.142,6.470
0.026,0.989,-0.091,9.338,-38.818,2.930
0.008,0.914,-0.094,8.545,-41.504,2.563
0.016,0.920,-0.110,-2.075,-35.950,2.075
0.023,1.007,-0.123,-3.357,-37.292,7.935
0.023,0.950,-0.114,1.648,-36.255,8.545
-0.026,0.937,-0.094,-1.160,-31.250,5.554
-0.146,1.362,-0.004,-10.925,-25.818,-26.367
0.145,0.858,-0.008,34.546,-16.235,3.784
0.050,0.999,0.046,10.071,-36.621,-8.728
0.034,0.983,0.096,7.507,-32.349,-3.174
-0.044,0.863,0.056,11.414,-54.260,-6.104
-0.087,0.999,-0.043,-4.700,-50.598,-9.521
-0.073,1.075,-0.026,-1.648,-34.790,11.475
-0.022,0.998,-0.003,-4.578,-44.800,14.160
-0.045,0.989,-0.000,10.681,-43.823,9.583
-0.040,0.959,-0.053,12.146,-37.476,0.183
-0.068,0.965,0.012,8.728,-36.682,-4.211
-0.133,0.957,0.001,12.451,-31.921,-4.883
-0.103,0.960,-0.022,2.747,-22.644,0.305
-0.066,0.968,-0.021,-2.441,-24.170,0.366
-0.109,1.003,-0.025,3.174,-21.240,-5.432
-0.077,0.984,-0.043,8.789,-21.179,-9.644
-0.072,0.938,-0.004,7.996,-14.038,-17.944
-0.040,1.123,0.049,-2.991,-10.620,9.460
-0.079,0.884,0.003,8.057,-14.404,8.850
0.002,0.860,0.076,-17.761,-5.676,9.216
0.178,1.090,0.089,-22.522,-13.550,11.292
0.207,0.887,0.012,-3.967,-22.583,3.052
